Date,Open,High,Low,Close
20-Jul-2017,"2269,89","2900,7","2269,89","2817,6"
19-Jul-2017,"2323,08","2397,17","2260,23","2273,43"
18-Jul-2017,"2233,52","2387,61","2164,77","2318,88"
17-Jul-2017,"1932,62","2230,49","1932,62","2228,41"
16-Jul-2017,"1991,98","2058,77","1843,03","1929,82"
15-Jul-2017,"2230,12","2231,14","1990,41","1998,86"
14-Jul-2017,"2360,59","2363,25","2183,22","2233,34"
13-Jul-2017,"2402,7","2425,22","2340,83","2357,9"
12-Jul-2017,"2332,77","2423,71","2275,14","2398,84"
11-Jul-2017,"2385,89","2413,47","2296,81","2337,79"
10-Jul-2017,"2525,25","2537,16","2321,13","2372,56"
09-Jul-2017,"2572,61","2635,49","2517,59","2518,44"
08-Jul-2017,"2520,27","2571,34","2492,31","2571,34"
07-Jul-2017,"2608,59","2916,14","2498,87","2518,66"
06-Jul-2017,"2608,1","2616,72","2581,69","2608,56"
05-Jul-2017,"2602,87","2622,65","2538,55","2601,99"
04-Jul-2017,"2561","2631,59","2559,35","2601,64"
03-Jul-2017,"2498,56","2595","2480,47","2564,06"
02-Jul-2017,"2436,4","2514,28","2394,84","2506,47"
01-Jul-2017,"2492,6","2515,27","2419,23","2434,55"
30-Jun-2017,"2539,24","2559,25","2478,43","2480,84"
29-Jun-2017,"2567,56","2588,83","2510,48","2539,32"
28-Jun-2017,"2553,03","2603,98","2484,42","2574,79"
27-Jun-2017,"2478,45","2552,45","2332,99","2552,45"
26-Jun-2017,"2590,57","2615,25","2376,29","2478,45"
25-Jun-2017,"2607,25","2682,26","2552,12","2589,41"
24-Jun-2017,"2738,52","2757,94","2583,19","2608,72"
23-Jun-2017,"2707,34","2765,17","2706,37","2744,91"
22-Jun-2017,"2691,03","2723,74","2642,36","2705,41"
21-Jun-2017,"2709,43","2772,01","2660,4","2689,1"
20-Jun-2017,"2591,26","2763,45","2589,82","2721,79"
19-Jun-2017,"2549,03","2662,85","2549,03","2589,6"
18-Jun-2017,"2655,35","2662,1","2516,33","2548,29"
17-Jun-2017,"2514,01","2685,19","2484,96","2655,88"
16-Jun-2017,"2469,57","2539,92","2385,15","2518,56"
15-Jun-2017,"2499,58","2534,71","2212,96","2464,58"
14-Jun-2017,"2716,88","2786,83","2412,94","2506,37"
13-Jun-2017,"2680,91","2789,04","2650,38","2717,02"
12-Jun-2017,"2953,22","2997,26","2518,56","2659,63"
11-Jun-2017,"2942,41","2996,6","2840,53","2958,11"
10-Jun-2017,"2828,14","2950,99","2746,55","2947,71"
09-Jun-2017,"2807,44","2901,71","2795,62","2823,81"
08-Jun-2017,"2720,49","2815,3","2670,95","2805,62"
07-Jun-2017,"2869,38","2869,38","2700,56","2732,16"
06-Jun-2017,"2690,84","2999,91","2690,84","2863,2"
05-Jun-2017,"2512,4","2686,81","2510,22","2686,81"
04-Jun-2017,"2547,79","2585,89","2452,54","2511,81"
03-Jun-2017,"2493,72","2581,91","2423,57","2515,35"
02-Jun-2017,"2404,03","2488,55","2373,32","2488,55"
01-Jun-2017,"2288,33","2448,39","2288,33","2407,88"
31-May-2017,"2187,19","2311,08","2145,57","2286,41"
30-May-2017,"2255,36","2301,96","2124,57","2175,47"
29-May-2017,"2159,43","2307,05","2107,17","2255,61"
28-May-2017,"2054,08","2267,34","2054,08","2155,8"
27-May-2017,"2196,27","2260,2","1855,83","2038,87"
26-May-2017,"2320,89","2573,79","2071,99","2202,42"
25-May-2017,"2446,24","2763,71","2285,3","2304,98"
24-May-2017,"2321,37","2523,72","2321,37","2443,64"
23-May-2017,"2191,56","2320,82","2178,5","2320,42"
22-May-2017,"2043,19","2303,9","2017,87","2173,4"
21-May-2017,"2067,03","2119,08","2037,5","2041,2"
20-May-2017,"1984,24","2084,73","1974,92","2084,73"
19-May-2017,"1897,37","2004,52","1890,25","1987,71"
18-May-2017,"1818,7","1904,48","1807,12","1888,65"
17-May-2017,"1726,73","1864,05","1661,91","1839,09"
16-May-2017,"1741,7","1785,94","1686,54","1734,45"
15-May-2017,"1808,44","1812,8","1708,54","1738,43"
14-May-2017,"1800,86","1831,42","1776,62","1808,91"
13-May-2017,"1723,12","1812,99","1651,08","1804,91"
12-May-2017,"1845,76","1856,15","1694,01","1724,24"
11-May-2017,"1780,37","1873,93","1755,35","1848,57"
10-May-2017,"1756,52","1788,44","1719,1","1787,13"
09-May-2017,"1723,89","1833,49","1716,3","1755,36"
08-May-2017,"1596,92","1723,35","1596,92","1723,35"
07-May-2017,"1579,47","1596,72","1559,76","1596,71"
06-May-2017,"1556,81","1578,8","1542,5","1578,8"
05-May-2017,"1540,87","1618,03","1530,31","1555,45"
04-May-2017,"1490,72","1608,91","1490,72","1537,67"
03-May-2017,"1453,78","1492,77","1447,49","1490,09"
02-May-2017,"1421,03","1473,9","1415,69","1452,82"
01-May-2017,"1348,3","1434,32","1348,3","1421,6"
30-Apr-2017,"1321,87","1347,91","1314,92","1347,89"
29-Apr-2017,"1317,84","1327,2","1315,21","1321,79"
28-Apr-2017,"1317,74","1331,28","1292,37","1316,48"
27-Apr-2017,"1281,88","1319,7","1281,3","1317,73"
26-Apr-2017,"1265,99","1294,83","1265,93","1281,08"
25-Apr-2017,"1250,45","1267,58","1249,97","1265,49"
24-Apr-2017,"1209,63","1250,94","1209,63","1250,15"
23-Apr-2017,"1231,92","1232,2","1203,94","1207,21"
22-Apr-2017,"1222,71","1235,56","1208,47","1231,71"
21-Apr-2017,"1229,42","1235,94","1215,56","1222,05"
20-Apr-2017,"1211,08","1240,79","1208,41","1229,08"
19-Apr-2017,"1212,13","1215,51","1205,08","1210,29"
18-Apr-2017,"1193,77","1217,57","1193,77","1211,67"
17-Apr-2017,"1183,25","1194,9","1172,65","1193,91"
16-Apr-2017,"1172,61","1187,22","1172,61","1182,94"
15-Apr-2017,"1167,3","1188","1164,96","1172,52"
14-Apr-2017,"1170,33","1190,8","1159,79","1167,54"
13-Apr-2017,"1201,02","1205,89","1156,44","1169,28"
12-Apr-2017,"1204,81","1207,14","1196,76","1200,37"
11-Apr-2017,"1187,46","1208,07","1187,46","1205,01"
10-Apr-2017,"1187,3","1190,34","1179,04","1187,13"
09-Apr-2017,"1176,57","1197,21","1171,86","1187,87"
08-Apr-2017,"1172,65","1184,98","1162,58","1175,95"
07-Apr-2017,"1178,94","1186,58","1163,39","1176,9"
06-Apr-2017,"1125,81","1188,37","1125,81","1182,68"
05-Apr-2017,"1134,14","1135,09","1113,63","1124,78"
04-Apr-2017,"1145,52","1156,44","1120,52","1133,25"
03-Apr-2017,"1102,95","1151,74","1102,95","1143,81"
02-Apr-2017,"1080,61","1107,59","1075,45","1102,17"
01-Apr-2017,"1071,71","1091,72","1061,09","1080,5"
31-Mar-2017,"1026,64","1074,92","1026,64","1071,79"
30-Mar-2017,"1042,21","1049,29","1020,04","1026,43"
29-Mar-2017,"1046,08","1055,13","1015,88","1039,97"
28-Mar-2017,"1044,58","1064,65","1027,73","1047,15"
27-Mar-2017,"972,06","1046,4","971,98","1045,77"
26-Mar-2017,"974,02","1007,96","954,19","966,73"
25-Mar-2017,"936,54","975,76","903,71","972,78"
24-Mar-2017,"1038,45","1040,47","934,36","937,52"
23-Mar-2017,"1050,05","1058,01","1028,93","1038,59"
22-Mar-2017,"1120,65","1120,65","1014,21","1049,14"
21-Mar-2017,"1055,36","1122,43","1055,36","1120,54"
20-Mar-2017,"1037,24","1063,03","1036,68","1054,23"
19-Mar-2017,"976,73","1069,91","976,73","1036,74"
18-Mar-2017,"1099,69","1114,07","957,66","973,82"
17-Mar-2017,"1180,16","1180,16","1099,57","1100,23"
16-Mar-2017,"1251,33","1257,98","1152,44","1187,81"
15-Mar-2017,"1240,16","1251,61","1239,75","1249,61"
14-Mar-2017,"1232,16","1244,81","1220,72","1240"
13-Mar-2017,"1221,78","1237,37","1217,03","1231,92"
12-Mar-2017,"1176,62","1226,98","1175,36","1221,38"
11-Mar-2017,"1116,32","1193,83","1116,32","1175,83"
10-Mar-2017,"1189,36","1270,47","1077,25","1116,72"
09-Mar-2017,"1150,35","1197,46","1141,23","1188,49"
08-Mar-2017,"1223,23","1232,16","1148,08","1150"
07-Mar-2017,"1273,21","1275,55","1204,8","1223,54"
06-Mar-2017,"1267,47","1276","1264,6","1272,83"
05-Mar-2017,"1254,29","1267,29","1238,06","1267,12"
04-Mar-2017,"1277,43","1279,4","1230,51","1255,15"
03-Mar-2017,"1250,71","1280,31","1250,71","1274,99"
02-Mar-2017,"1224,68","1262,13","1215,62","1251,01"
01-Mar-2017,"1180,04","1222,5","1179,69","1222,5"
28-Feb-2017,"1180,72","1193,25","1171,82","1179,97"
27-Feb-2017,"1163,78","1181,98","1163,38","1179,97"
26-Feb-2017,"1144,27","1167,47","1130,2","1165,2"
25-Feb-2017,"1170,41","1174,85","1124,59","1143,84"
24-Feb-2017,"1172,71","1200,39","1131,96","1173,68"
23-Feb-2017,"1117,27","1176,62","1116,96","1166,72"
22-Feb-2017,"1114,8","1125,39","1100,55","1117,44"
21-Feb-2017,"1079,28","1117,25","1076,93","1115,3"
20-Feb-2017,"1048,69","1080,49","1041,69","1079,98"
19-Feb-2017,"1054,76","1056,81","1043,46","1047,87"
18-Feb-2017,"1049,21","1061,1","1046,96","1054,42"
17-Feb-2017,"1026,12","1053,17","1025,64","1046,21"
16-Feb-2017,"1007,65","1033,37","1007,65","1027,44"
15-Feb-2017,"1006,21","1008,84","1001,58","1007,48"
14-Feb-2017,"991,74","1011,51","986,47","1004,55"
13-Feb-2017,"998,89","1002,1","976","990,64"
12-Feb-2017,"1003,52","1004,76","996,92","999,18"
11-Feb-2017,"988,9","1009,29","982,83","1004,45"
10-Feb-2017,"995,63","998,91","946,69","988,67"
09-Feb-2017,"1064,7","1088,99","953,34","994,38"
08-Feb-2017,"1062,32","1078,97","1037,49","1063,07"
07-Feb-2017,"1040,14","1061,93","1040,14","1061,35"
06-Feb-2017,"1028,4","1044,64","1028,16","1038,15"
05-Feb-2017,"1043,52","1043,63","1022,37","1027,34"
04-Feb-2017,"1031,33","1045,9","1015,16","1042,9"
03-Feb-2017,"1011,46","1033,87","1008,79","1029,91"
02-Feb-2017,"990","1013,52","983,22","1011,8"
01-Feb-2017,"970,94","989,11","970,74","989,02"
31-Jan-2017,"920,96","972,02","920,96","970,4"
30-Jan-2017,"920,15","923,05","919,47","920,38"
29-Jan-2017,"922,07","923,42","919,15","919,5"
28-Jan-2017,"919,81","923,91","919,81","921,59"
27-Jan-2017,"918,36","923,22","915,85","919,75"
26-Jan-2017,"902,4","919,33","902,22","917,59"
25-Jan-2017,"891,92","903,25","891,69","901,54"
24-Jan-2017,"910,68","924,15","892,29","892,69"
23-Jan-2017,"925,5","928,27","916,74","921,01"
22-Jan-2017,"922,21","937,53","897,56","924,67"
21-Jan-2017,"895,55","927,37","895,54","921,79"
20-Jan-2017,"898,17","899,4","887,01","895,03"
19-Jan-2017,"888,34","904,61","884,34","899,07"
18-Jan-2017,"909,37","917,5","858,3","886,62"
17-Jan-2017,"830,95","910,56","830,8","907,94"
16-Jan-2017,"821,78","834,53","820,27","831,53"
15-Jan-2017,"818,14","823,31","812,87","821,8"
14-Jan-2017,"825,14","835,09","812,46","818,41"
13-Jan-2017,"803,74","829","780","823,98"
12-Jan-2017,"775,18","826,25","755,76","804,83"
11-Jan-2017,"908,12","919,45","762,77","777,76"
10-Jan-2017,"902,44","914,87","901,06","907,68"
09-Jan-2017,"913,24","913,69","879,81","902,83"
08-Jan-2017,"908,18","942,72","887,25","911,2"
07-Jan-2017,"903,49","908,59","823,56","908,59"
06-Jan-2017,"1014,24","1046,81","883,94","902,2"
05-Jan-2017,"1156,73","1191,1","910,42","1013,38"
04-Jan-2017,"1044,4","1159,42","1044,4","1154,73"
03-Jan-2017,"1021,6","1044,08","1021,6","1043,84"
02-Jan-2017,"998,62","1031,39","996,7","1021,75"
01-Jan-2017,"963,66","1003,08","958,7","998,33"
31-Dec-2016,"960,63","963,74","947,24","963,74"
30-Dec-2016,"972,54","972,54","934,83","961,24"
29-Dec-2016,"975,13","979,4","954,5","973,5"
28-Dec-2016,"934,83","975,92","934,83","975,92"
27-Dec-2016,"908,35","940,05","904,26","933,2"
26-Dec-2016,"896,91","913,18","896,9","907,61"
25-Dec-2016,"899,65","899,65","862,42","896,18"
24-Dec-2016,"922,18","923,48","886,34","898,82"
23-Dec-2016,"864,89","925,12","864,68","921,98"
22-Dec-2016,"834,18","875,78","834,15","864,54"
21-Dec-2016,"800,64","834,28","799,41","834,28"
20-Dec-2016,"792,25","801,34","791,5","800,88"
19-Dec-2016,"790,69","793,61","790,32","792,71"
18-Dec-2016,"791,01","794,74","788,03","790,53"
17-Dec-2016,"785,17","792,51","784,86","790,83"
16-Dec-2016,"778,96","785,03","778,96","784,91"
15-Dec-2016,"780,07","781,44","777,8","778,09"
14-Dec-2016,"780,01","782,03","776,84","781,48"
13-Dec-2016,"780,65","788,46","777,96","780,56"
12-Dec-2016,"770,04","781,92","770,04","780,09"
11-Dec-2016,"774,75","774,8","765,41","769,73"
10-Dec-2016,"773,02","777,09","772,91","774,65"
09-Dec-2016,"769,94","774,53","769,65","772,79"
08-Dec-2016,"768,08","774,7","765,95","770,81"
07-Dec-2016,"764,21","771,54","759,75","768,13"
06-Dec-2016,"758,72","765,62","758,72","764,22"
05-Dec-2016,"773,39","773,47","751,71","758,7"
04-Dec-2016,"771,64","773,87","768,16","773,87"
03-Dec-2016,"778,25","778,25","764,86","771,16"
02-Dec-2016,"757,55","781,3","757,55","777,94"
01-Dec-2016,"746,05","758,28","746,05","756,77"
30-Nov-2016,"736,28","747,93","736,27","745,69"
29-Nov-2016,"736,33","737,47","734,56","735,6"
28-Nov-2016,"732,48","738,01","732,48","735,81"
27-Nov-2016,"735,44","739,02","731,09","732,04"
26-Nov-2016,"741,51","742,21","729,63","735,38"
25-Nov-2016,"740,44","741,65","734,59","741,65"
24-Nov-2016,"744,62","746,83","733,49","740,29"
23-Nov-2016,"751,74","752,25","738,92","744,59"
22-Nov-2016,"739,64","753,87","736,53","751,35"
21-Nov-2016,"731,27","741,72","730,51","739,25"
20-Nov-2016,"751,88","755,48","717,94","731,03"
19-Nov-2016,"751,83","756,24","744,47","751,62"
18-Nov-2016,"740,71","752,88","736,89","751,59"
17-Nov-2016,"744,88","755,65","739,51","740,98"
16-Nov-2016,"711,17","747,62","709,04","744,2"
15-Nov-2016,"705,79","715,72","705,26","711,62"
14-Nov-2016,"702","706,28","699,81","705,02"
