Date,Open,High,Low,Close
09-Aug-2015,"261,12","267","260,47","265,08"
08-Aug-2015,"279,74","279,93","260,71","261"
07-Aug-2015,"278,74","280,39","276,37","279,59"
06-Aug-2015,"281,91","281,91","278,4","278,58"
05-Aug-2015,"284,85","285,5","281,49","281,88"
04-Aug-2015,"281,23","285,72","281,23","285,22"
03-Aug-2015,"282,81","285,47","280,23","281,23"
02-Aug-2015,"280,45","283,03","277,53","282,61"
01-Aug-2015,"284,69","284,93","278,11","281,6"
31-Jul-2015,"287,7","288,96","282,34","284,65"
30-Jul-2015,"289,1","290,13","286,57","287,72"
29-Jul-2015,"294,48","294,54","288,78","289,59"
28-Jul-2015,"293,63","296,65","293,42","294,43"
27-Jul-2015,"292,64","297,77","287,45","293,62"
26-Jul-2015,"288,64","293,05","287,71","292,69"
25-Jul-2015,"288,16","290,73","286","288,7"
24-Jul-2015,"276,01","289,25","275,25","288,28"
23-Jul-2015,"277,34","278,11","275,72","276,05"
22-Jul-2015,"275,66","277,67","274,38","277,22"
21-Jul-2015,"278,88","280,55","275,42","275,83"
20-Jul-2015,"273,5","278,98","272,96","278,98"
19-Jul-2015,"274,77","275,67","272,51","273,61"
18-Jul-2015,"279,33","282,53","274,08","274,9"
17-Jul-2015,"278,09","280,28","272,04","279,47"
16-Jul-2015,"286,04","291,18","275,24","278,09"
15-Jul-2015,"288,05","293,25","285,37","285,83"
14-Jul-2015,"292,03","296,15","286,64","287,46"
13-Jul-2015,"310,83","310,95","281,01","292,05"
12-Jul-2015,"293,14","314,39","292,51","310,87"
11-Jul-2015,"284,88","298,51","283,53","293,12"
10-Jul-2015,"269,16","294,59","268,8","284,89"
09-Jul-2015,"270,83","272,34","267,09","269,23"
08-Jul-2015,"265,98","272,97","264,39","270,79"
07-Jul-2015,"269,96","271,34","264,83","266,21"
06-Jul-2015,"271,11","277,42","267,6","269,03"
05-Jul-2015,"260,81","274,51","258,7","271,91"
04-Jul-2015,"256,49","261,46","254,2","260,89"
03-Jul-2015,"255,46","257,08","253,51","256,34"
02-Jul-2015,"258,55","261,63","254,12","255,41"
01-Jul-2015,"263,35","265,17","255,77","258,62"
30-Jun-2015,"257,04","267,87","255,95","263,07"
29-Jun-2015,"248,72","257,17","248,58","257,06"
28-Jun-2015,"250,96","251,17","247,43","249,01"
27-Jun-2015,"243,55","251,34","243,12","250,99"
26-Jun-2015,"242,6","243,75","241,55","243,59"
25-Jun-2015,"240,37","243,33","240,37","242,8"
24-Jun-2015,"244,28","244,34","240,52","240,52"
23-Jun-2015,"246,93","247,3","243,13","244,3"
22-Jun-2015,"243,97","247,92","243,78","246,99"
21-Jun-2015,"245,1","245,22","241,88","243,94"
20-Jun-2015,"244,53","245,83","240,63","245,21"
19-Jun-2015,"249,04","250,98","243,79","244,61"
18-Jun-2015,"249,43","252,11","244,13","249,01"
17-Jun-2015,"250,82","256,85","246,48","249,28"
16-Jun-2015,"236,77","251,74","236,12","250,9"
15-Jun-2015,"233,42","237,84","233,42","236,82"
14-Jun-2015,"232,44","234,86","232","233,54"
13-Jun-2015,"229,92","232,65","229,21","232,4"
12-Jun-2015,"229,71","231,06","229,31","229,98"
11-Jun-2015,"228,86","230,29","228,77","229,71"
10-Jun-2015,"229","229,78","228,01","228,8"
09-Jun-2015,"228,54","230,95","227,93","229,05"
08-Jun-2015,"222,88","229,46","222,84","228,49"
07-Jun-2015,"225,6","226,19","222,65","222,88"
06-Jun-2015,"225,01","225,72","224,38","225,62"
05-Jun-2015,"224,15","225,97","223,18","224,95"
04-Jun-2015,"225,77","226,58","224,05","224,32"
03-Jun-2015,"225,74","227,4","223,93","225,87"
02-Jun-2015,"222,89","226,42","222,42","225,8"
01-Jun-2015,"230,23","231,71","221,3","222,93"
31-May-2015,"233,14","233,25","229,54","230,19"
30-May-2015,"237,09","237,09","232,05","233,35"
29-May-2015,"237,38","237,52","235,73","237,1"
28-May-2015,"237,26","237,82","236,65","237,41"
27-May-2015,"237,07","238,64","236,7","237,28"
26-May-2015,"237,1","238,24","235,69","237,12"
25-May-2015,"240,93","241,02","236,64","237,11"
24-May-2015,"238,98","241,98","238,81","240,95"
23-May-2015,"240,29","241,03","238,69","238,87"
22-May-2015,"235,32","240,97","235,06","240,35"
21-May-2015,"234,02","236,24","233,84","235,34"
20-May-2015,"231,89","234,68","231,84","234,02"
19-May-2015,"233,04","234,15","231,82","231,95"
18-May-2015,"236,89","237,21","232,46","233,13"
17-May-2015,"236,01","238,03","236,01","236,8"
16-May-2015,"237,64","237,7","235,3","236,15"
15-May-2015,"236,96","238,75","236,8","237,61"
14-May-2015,"236,21","237,8","234,06","236,93"
13-May-2015,"241,4","243,7","235,05","236,38"
12-May-2015,"242,15","242,88","240,1","241,11"
11-May-2015,"240,3","244,27","239,38","242,16"
10-May-2015,"241,73","244,07","238,85","240,3"
09-May-2015,"243,77","247,8","239,64","241,83"
08-May-2015,"237,2","246,28","236,27","243,86"
07-May-2015,"229,66","239,11","228,57","237,33"
06-May-2015,"236,25","236,45","229,23","229,78"
05-May-2015,"238,85","239,2","232,05","236,12"
04-May-2015,"240,36","242,64","237,81","239,02"
03-May-2015,"234,88","243,24","234,08","240,36"
02-May-2015,"232,34","235,73","232,34","234,93"
01-May-2015,"235,94","238,97","232,08","232,08"
30-Apr-2015,"225,69","239,56","224,99","236,15"
29-Apr-2015,"225,59","227,04","223,43","225,81"
28-Apr-2015,"228,97","229,5","223,07","225,86"
27-Apr-2015,"219,43","233,31","218,02","229,29"
26-Apr-2015,"226,41","226,94","214,87","219,43"
25-Apr-2015,"231,24","232,56","226,34","226,39"
24-Apr-2015,"235,97","236,31","229,93","231,27"
23-Apr-2015,"234,05","236,48","233,2","236,46"
22-Apr-2015,"235,6","237,91","233,48","234,18"
21-Apr-2015,"224,62","235,27","224,3","235,27"
20-Apr-2015,"222,61","226,35","221,98","224,63"
19-Apr-2015,"223,46","226,35","222,37","222,6"
18-Apr-2015,"222,85","224,32","220,88","223,36"
17-Apr-2015,"228,58","228,91","221,94","222,88"
16-Apr-2015,"223,92","229,67","223,92","228,57"
15-Apr-2015,"219,07","223,83","218,65","223,83"
14-Apr-2015,"224,76","224,98","216,32","219,16"
13-Apr-2015,"235,95","236,94","222","224,59"
12-Apr-2015,"236,54","237,73","233,5","236,15"
11-Apr-2015,"236,02","239,54","234,18","236,55"
10-Apr-2015,"243,69","243,69","232,77","236,07"
09-Apr-2015,"244,75","246,12","239,4","243,68"
08-Apr-2015,"253,06","253,85","244,22","245,02"
07-Apr-2015,"255,27","255,81","252,21","253,18"
06-Apr-2015,"260,72","261,8","254,58","255,49"
05-Apr-2015,"253,76","260,68","251,94","260,6"
04-Apr-2015,"254,29","255,26","251,1","253,7"
03-Apr-2015,"253,07","256,04","251,88","254,32"
02-Apr-2015,"247,09","254,46","245,42","253,01"
01-Apr-2015,"244,22","247,54","241,16","247,27"
31-Mar-2015,"247,45","248,73","242,74","244,22"
30-Mar-2015,"242,88","249,24","239,21","247,53"
29-Mar-2015,"252,74","253,14","240,85","242,71"
28-Mar-2015,"246,98","254,21","246,98","252,8"
27-Mar-2015,"248,57","256,81","245,21","247,03"
26-Mar-2015,"246,28","254,35","244,91","248,53"
25-Mar-2015,"247,47","249,19","236,52","246,2"
24-Mar-2015,"266,58","267","244,16","245,6"
23-Mar-2015,"267,9","277,3","261,75","266,74"
22-Mar-2015,"259,92","269,75","259,59","267,96"
21-Mar-2015,"261,64","262,2","255,65","260,03"
20-Mar-2015,"260,96","264,85","259,16","261,75"
19-Mar-2015,"255,88","264,24","248,64","260,93"
18-Mar-2015,"285,07","285,34","249,87","256,3"
17-Mar-2015,"290,6","292,37","284,37","285,51"
16-Mar-2015,"285,69","294,11","285,69","290,59"
15-Mar-2015,"281,43","286,53","281","286,39"
14-Mar-2015,"284,44","286,34","280,98","281,89"
13-Mar-2015,"294,12","294,5","285,34","285,34"
12-Mar-2015,"296,13","297,09","292,41","294,35"
11-Mar-2015,"291,53","297,39","290,51","296,38"
10-Mar-2015,"289,86","300,04","289,74","291,76"
09-Mar-2015,"274,81","292,7","273,89","289,61"
08-Mar-2015,"276,43","277,86","272,57","274,35"
07-Mar-2015,"272,29","277,85","270,13","276,26"
06-Mar-2015,"275,6","277,61","270,02","272,72"
05-Mar-2015,"272,74","281,67","264,77","276,18"
04-Mar-2015,"281,99","284,23","268,13","273,09"
03-Mar-2015,"275,05","285,8","268,16","281,7"
02-Mar-2015,"260,36","276,3","258,31","275,67"
01-Mar-2015,"254,28","261,66","245,93","260,2"
28-Feb-2015,"253,52","254,69","249,48","254,26"
27-Feb-2015,"236,44","256,65","236,44","253,83"
26-Feb-2015,"237,34","237,71","234,26","236,43"
25-Feb-2015,"238,89","239,34","235,53","237,47"
24-Feb-2015,"239","239,9","236,4","238,74"
23-Feb-2015,"236","240,11","232,42","238,89"
22-Feb-2015,"244,54","246,39","233,85","235,98"
21-Feb-2015,"243,75","255,32","243,18","244,53"
20-Feb-2015,"240,25","247,1","239,3","243,78"
19-Feb-2015,"236,41","242,67","235,59","240,28"
18-Feb-2015,"243,78","244,25","232,34","236,33"
17-Feb-2015,"233,42","245,78","232,31","243,61"
16-Feb-2015,"234,83","239,52","229,02","233,84"
15-Feb-2015,"257,51","265,61","227,68","234,83"
14-Feb-2015,"235,53","259,81","235,53","257,32"
13-Feb-2015,"221,97","240,26","221,26","235,43"
12-Feb-2015,"219,21","222,2","217,61","221,76"
11-Feb-2015,"219,73","223,41","218,07","219,19"
10-Feb-2015,"220,28","221,81","215,33","219,84"
09-Feb-2015,"223,39","223,98","217,02","220,11"
08-Feb-2015,"227,69","229,44","221,08","223,41"
07-Feb-2015,"222,63","230,3","222,61","227,75"
06-Feb-2015,"216,92","230,51","216,23","222,27"
05-Feb-2015,"227,67","239,41","214,73","217,11"
04-Feb-2015,"227,51","230,06","221,11","226,85"
03-Feb-2015,"237,45","245,96","224,48","227,27"
02-Feb-2015,"226,49","242,18","222,66","238,23"
01-Feb-2015,"216,87","231,57","212,02","226,97"
31-Jan-2015,"226,44","233,5","216,31","217,46"
30-Jan-2015,"232,77","242,85","225,84","226,43"
29-Jan-2015,"233,35","238,71","220,71","233,51"
28-Jan-2015,"263,35","266,54","227,05","233,92"
27-Jan-2015,"273,17","275,48","250,65","263,48"
26-Jan-2015,"254,08","309,38","254,08","273,47"
25-Jan-2015,"247,35","255,07","243,89","253,72"
24-Jan-2015,"232,7","248,21","230,02","247,85"
23-Jan-2015,"233,52","234,85","225,2","232,88"
22-Jan-2015,"227,32","237,02","226,43","233,41"
21-Jan-2015,"211,38","227,79","211,21","226,9"
20-Jan-2015,"212,91","215,24","205,15","211,32"
19-Jan-2015,"211,47","216,73","207,32","214,86"
18-Jan-2015,"200,05","218,7","194,51","210,34"
17-Jan-2015,"207,83","211,73","194,88","199,26"
16-Jan-2015,"209,07","221,59","199,77","208,1"
15-Jan-2015,"176,9","229,07","176,9","209,84"
14-Jan-2015,"223,89","223,89","171,51","178,1"
13-Jan-2015,"267,39","268,28","219,91","225,86"
12-Jan-2015,"266,15","272,2","265,2","267,8"
11-Jan-2015,"274,61","279,64","265,04","265,66"
10-Jan-2015,"287,3","288,13","273,97","274,8"
09-Jan-2015,"282,38","291,11","280,53","290,41"
08-Jan-2015,"294,14","294,14","282,18","283,35"
07-Jan-2015,"286,08","298,75","283,08","294,34"
06-Jan-2015,"274,61","287,55","272,7","286,19"
05-Jan-2015,"265,08","278,34","265,08","274,47"
04-Jan-2015,"281,15","287,23","257,61","264,2"
03-Jan-2015,"314,85","315,15","281,08","281,08"
02-Jan-2015,"314,08","315,84","313,57","315,03"
01-Jan-2015,"320,44","320,44","314","314,25"
31-Dec-2014,"310,91","320,19","310,21","320,19"
30-Dec-2014,"312,72","314,81","309,37","310,74"
29-Dec-2014,"317,7","320,27","312,31","312,67"
28-Dec-2014,"316,16","320,03","311,08","317,24"
27-Dec-2014,"327,58","328,91","312,63","315,86"
26-Dec-2014,"319,15","331,42","316,63","327,92"
25-Dec-2014,"322,29","322,67","316,96","319,01"
24-Dec-2014,"334,39","334,74","321,36","322,53"
23-Dec-2014,"332,02","336,29","329,6","334,57"
22-Dec-2014,"321,07","334,12","320,43","331,89"
21-Dec-2014,"329,54","329,63","318,9","320,84"
20-Dec-2014,"317,62","330,33","316,04","329,96"
19-Dec-2014,"311,18","318,53","306,77","317,84"
18-Dec-2014,"319,79","323,71","304,23","311,4"
17-Dec-2014,"326,86","333,95","315,15","319,78"
16-Dec-2014,"345,67","345,86","327,06","327,06"
15-Dec-2014,"351,36","351,82","344,93","345,35"
14-Dec-2014,"346,73","353,32","345,42","351,63"
13-Dec-2014,"352,38","352,38","346,59","347,38"
12-Dec-2014,"350,83","352,98","349,29","352,54"
11-Dec-2014,"344,34","361,36","338,76","350,51"
10-Dec-2014,"352,21","352,38","346,37","346,37"
09-Dec-2014,"361,9","363,07","344,95","352,22"
08-Dec-2014,"374,97","376,03","361,89","361,91"
07-Dec-2014,"374,84","376,29","373,28","375,1"
06-Dec-2014,"376,76","378,45","370,95","374,79"
05-Dec-2014,"369,44","379,19","365,76","376,85"
04-Dec-2014,"375,72","378,66","367,76","369,6"
03-Dec-2014,"381,72","383,03","374,35","375,01"
02-Dec-2014,"379,25","384,04","377,86","381,32"
01-Dec-2014,"378,25","383,66","376,67","379,25"
30-Nov-2014,"375,51","382,53","373,31","378,05"
29-Nov-2014,"376,15","387,6","372,15","375,49"
28-Nov-2014,"369,37","382,84","358,46","376,45"
27-Nov-2014,"370,5","373,99","368,28","369,67"
26-Nov-2014,"376,02","377,7","365,82","368,37"
25-Nov-2014,"376,89","394,7","374,78","375,35"
24-Nov-2014,"366,95","387,21","366,67","376,9"
23-Nov-2014,"353,18","370,85","353,18","367,57"
22-Nov-2014,"351,6","364,84","350,88","352,92"
21-Nov-2014,"357,88","357,88","344,11","350,85"
20-Nov-2014,"380,31","382,03","356,78","357,84"
19-Nov-2014,"373,9","386,48","373,9","380,56"
18-Nov-2014,"387,79","392,4","371,12","375,2"
17-Nov-2014,"388,35","410,2","377,5","387,41"
16-Nov-2014,"374,73","390,8","374,6","387,88"
15-Nov-2014,"399,65","405,53","371,01","376,13"
14-Nov-2014,"418,42","419,25","384,79","397,82"
13-Nov-2014,"427,27","457,09","401,12","420,74"
12-Nov-2014,"367,99","429,72","367,99","423,56"
11-Nov-2014,"365,86","371,31","363,74","367,7"
10-Nov-2014,"362,27","374,82","357,56","366,92"
09-Nov-2014,"345,38","363,63","344,26","363,26"
08-Nov-2014,"342,15","347,03","342,15","345,49"
07-Nov-2014,"349,82","352,73","341,78","342,42"
06-Nov-2014,"339,46","352,97","338,42","349,29"
05-Nov-2014,"330,68","343,37","330,68","339,49"
04-Nov-2014,"327,16","331,77","325,08","330,49"
03-Nov-2014,"325,57","334","325,48","327,55"
02-Nov-2014,"326,08","329,05","320,63","325,89"
01-Nov-2014,"338,65","340,53","321,06","325,75"
31-Oct-2014,"345,01","348,05","337,14","338,32"
30-Oct-2014,"335,71","350,91","335,07","345,31"
29-Oct-2014,"357,09","357,83","335,34","335,59"
28-Oct-2014,"353,22","359,98","352,68","357,62"
27-Oct-2014,"354,78","358,63","349,81","352,99"
26-Oct-2014,"347,49","359,22","343,93","354,7"
25-Oct-2014,"358,61","359,86","342,88","347,27"
24-Oct-2014,"358,59","364,35","353,31","358,35"
23-Oct-2014,"382,96","385,05","356,45","358,42"
22-Oct-2014,"386,12","388,58","382,25","383,16"
21-Oct-2014,"382,42","392,65","380,83","386,48"
20-Oct-2014,"389,23","390,08","378,25","382,85"
19-Oct-2014,"391,25","393,94","386,46","389,55"
18-Oct-2014,"383,98","395,16","378,97","391,44"
17-Oct-2014,"382,76","385,48","375,39","383,76"
16-Oct-2014,"394,52","398,81","373,07","382,56"
15-Oct-2014,"400,96","402,23","388,77","394,77"
14-Oct-2014,"391,69","411,7","391,32","400,87"
13-Oct-2014,"377,92","397,23","368,9","390,41"
12-Oct-2014,"362,61","379,43","356,14","378,55"
11-Oct-2014,"361,36","367,19","355,95","362,3"
10-Oct-2014,"364,69","375,07","352,96","361,56"
09-Oct-2014,"352,75","382,73","347,69","365,03"
08-Oct-2014,"336,12","354,36","327,19","352,94"
07-Oct-2014,"330,58","339,25","320,48","336,19"
06-Oct-2014,"320,39","345,13","302,56","330,08"
05-Oct-2014,"328,92","341,8","289,3","320,51"
04-Oct-2014,"359,89","364,49","325,89","328,87"
03-Oct-2014,"375,18","377,7","357,86","359,51"
02-Oct-2014,"383,99","385,5","372,95","375,07"
01-Oct-2014,"387,43","391,38","380,78","383,62"
30-Sep-2014,"376,09","390,98","373,44","386,94"
29-Sep-2014,"376,93","385,21","372,24","375,47"
28-Sep-2014,"399,47","401,02","374,33","377,18"
27-Sep-2014,"403,56","406,62","397,37","399,52"
26-Sep-2014,"411,43","414,94","400,01","404,43"
25-Sep-2014,"423,16","423,52","409,47","411,57"
24-Sep-2014,"435,75","436,11","421,13","423,21"
23-Sep-2014,"402,09","441,56","396,2","435,79"
22-Sep-2014,"399,1","406,92","397,13","402,15"
21-Sep-2014,"408,09","412,43","393,18","398,82"
20-Sep-2014,"394,67","423,3","389,88","408,9"
19-Sep-2014,"424,1","427,84","384,53","394,8"
18-Sep-2014,"456,86","456,86","413,1","424,44"
17-Sep-2014,"465,86","468,17","452,42","457,33"
16-Sep-2014,"474,86","475,64","465,13","466,06"
15-Sep-2014,"477,77","478,62","474,02","475,37"
14-Sep-2014,"479,12","479,85","476,12","477,89"
13-Sep-2014,"477,79","482,12","475,1","479"
12-Sep-2014,"479,58","479,63","473,01","477,75"
11-Sep-2014,"479,62","482,35","474,61","479,75"
10-Sep-2014,"475,48","487,47","475,15","479,36"
09-Sep-2014,"474,88","477,38","467,78","475,26"
08-Sep-2014,"481,81","489,83","468,79","474,6"
07-Sep-2014,"485,13","488,07","482,28","482,28"
06-Sep-2014,"483,34","488,6","483","484,83"
05-Sep-2014,"489,67","490,64","481,61","483,34"
04-Sep-2014,"477,68","493,93","477,09","489,66"
03-Sep-2014,"476,87","481,71","476,21","477,59"
02-Sep-2014,"474,48","482,99","472,32","477,43"
01-Sep-2014,"477,79","485,31","471,91","474,88"
31-Aug-2014,"502,91","504,88","474,81","477,76"
30-Aug-2014,"508,59","509,31","501,64","504,25"
29-Aug-2014,"508,43","511,7","503,82","508,52"
28-Aug-2014,"510,88","516,16","506,88","507,82"
27-Aug-2014,"512,19","520,71","510,92","511,15"
26-Aug-2014,"502,54","512,69","502,54","511,57"
25-Aug-2014,"508,22","508,22","499,23","502,5"
24-Aug-2014,"498,29","512,89","497,35","508,29"
23-Aug-2014,"513,39","514,3","492,11","498,08"
22-Aug-2014,"517,58","521,48","501,28","514,04"
21-Aug-2014,"510,45","531,9","510,45","517,24"
20-Aug-2014,"485,07","518,29","467,51","511,98"
19-Aug-2014,"461,48","485,71","455,54","485,25"
18-Aug-2014,"491,51","499,37","443,85","461,46"
17-Aug-2014,"519,14","520,19","483,63","491,8"
16-Aug-2014,"497,83","521,48","487,74","519,71"
15-Aug-2014,"511,14","518,18","487,93","497,01"
14-Aug-2014,"546,18","546,24","498,73","505,97"
13-Aug-2014,"570,38","573,03","532,67","546,66"
12-Aug-2014,"576,51","576,95","566,6","569,64"
11-Aug-2014,"591,28","591,51","574,05","576,37"
10-Aug-2014,"589,17","594,46","587,94","591,06"
09-Aug-2014,"592,47","592,47","587,63","589,37"
08-Aug-2014,"588,88","598,12","588,79","592,58"
07-Aug-2014,"584,65","591,1","584,05","588,87"
06-Aug-2014,"585,95","587,49","583,1","584,65"
05-Aug-2014,"589,01","589,87","584,1","585,44"
04-Aug-2014,"586,23","591,95","583,74","588,78"
03-Aug-2014,"588,89","589,15","581,65","586,67"
02-Aug-2014,"594,9","594,91","586,16","589,33"
01-Aug-2014,"586,2","597,92","583,63","594,92"
31-Jul-2014,"567,37","586,24","564,51","586,24"
30-Jul-2014,"584,74","585,12","564,9","567,29"
29-Jul-2014,"585,55","588,39","581,7","584,73"
28-Jul-2014,"594,14","594,57","575,19","585,69"
27-Jul-2014,"595,67","598,94","593,43","593,85"
26-Jul-2014,"601,54","602,09","593,96","595,81"
25-Jul-2014,"601,51","607,07","597,23","601,09"
24-Jul-2014,"619,5","620,43","595,57","601,73"
23-Jul-2014,"621,12","624,43","618,29","619,42"
22-Jul-2014,"622,27","624,3","620,96","621,55"
21-Jul-2014,"623,95","624,09","619,11","622,21"
20-Jul-2014,"628,56","628,56","622,78","623,9"
19-Jul-2014,"629,17","629,17","624,6","628,52"
18-Jul-2014,"622,37","629,21","620,47","628,78"
17-Jul-2014,"616,54","626,29","608,4","623,09"
16-Jul-2014,"622,01","623,09","615,33","616,8"
15-Jul-2014,"620","625,14","619,64","621,59"
14-Jul-2014,"626,56","627,34","617,32","619,32"
13-Jul-2014,"634,22","634,73","624,91","626,5"
12-Jul-2014,"631,88","636,66","626,98","633,71"
11-Jul-2014,"616,66","632,09","615,77","632"
10-Jul-2014,"624,83","626,12","612,35","616,76"
09-Jul-2014,"625,22","627","622,6","624,51"
08-Jul-2014,"622,57","626,7","620,91","624,82"
07-Jul-2014,"635,46","637,16","617,01","624,09"
06-Jul-2014,"631,77","638,65","631,16","635,81"
05-Jul-2014,"629,95","633,22","628","631,46"
04-Jul-2014,"644,65","648,43","629,4","630,69"
03-Jul-2014,"650,77","650,77","641,3","645,16"
02-Jul-2014,"641,04","656,68","638,34","650,88"
01-Jul-2014,"641,39","657,86","640,11","640,81"
30-Jun-2014,"602,62","645,16","599,88","639,8"
29-Jun-2014,"596,33","604,08","596,16","602,72"
28-Jun-2014,"599,08","604,47","595,92","596,55"
27-Jun-2014,"581,3","600,12","579,89","597,26"
26-Jun-2014,"566,14","581,63","564,73","581,14"
25-Jun-2014,"581,81","583,6","565,63","566,34"
24-Jun-2014,"593,97","596,97","582,36","582,36"
23-Jun-2014,"602,16","603,21","586,34","593,98"
22-Jun-2014,"595,9","606","594,63","602,27"
21-Jun-2014,"593,68","599,46","587,74","594,99"
20-Jun-2014,"597,4","599,75","587,76","594,15"
19-Jun-2014,"608,07","612,24","597,02","598,07"
18-Jun-2014,"609,77","615,88","604,4","607,96"
17-Jun-2014,"591,59","610,89","590,4","610,86"
16-Jun-2014,"592,65","608,72","587,07","592,19"
15-Jun-2014,"575,93","592,94","554,89","592,94"
14-Jun-2014,"600,75","601,27","549,82","577,36"
13-Jun-2014,"585,7","615,14","585,7","600,16"
12-Jun-2014,"633,43","638,11","573,27","586,95"
11-Jun-2014,"653,19","657,04","632,55","633,02"
10-Jun-2014,"650,04","659,62","646,56","653,15"
09-Jun-2014,"655,64","657,7","644,39","649,16"
08-Jun-2014,"654,99","658,88","653,47","656,14"
07-Jun-2014,"653,52","656,94","644,91","654,97"
06-Jun-2014,"659,28","661,37","652,3","653,7"
05-Jun-2014,"641,07","663,53","640,09","659,26"
04-Jun-2014,"666,77","668,56","624,09","641,61"
03-Jun-2014,"660,55","674,11","650,78","667,61"
02-Jun-2014,"629,65","665,5","618,75","660,62"
01-Jun-2014,"623,69","671,51","619,91","630,23"
31-May-2014,"615,69","624,72","604,47","623,68"
30-May-2014,"568,18","618,46","568,16","615,33"
29-May-2014,"576,33","577,1","561,6","568,18"
28-May-2014,"571,92","578,62","564,09","577,06"
27-May-2014,"582,59","589,52","554,43","571,24"
